Priority,Completeness,Year,Title,Issues,TMDB_ID,URL
Medium,70%,2024,"Captain Miller","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",962074,http://localhost:3000/movies/captain-miller-2024
Medium,70%,2024,"Fighter","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",784651,http://localhost:3000/movies/fighter-2024
Medium,70%,2024,"Dear Santa","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1097870,http://localhost:3000/movies/dear-santa-2024
Medium,70%,2024,"I Am Kathalan","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1046183,http://localhost:3000/movies/i-am-kathalan-2024
Medium,70%,2024,"Wicked","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",402431,http://localhost:3000/movies/wicked-2024
Medium,70%,2024,"Jigra","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1184889,http://localhost:3000/movies/jigra-2024
Medium,70%,2024,"Aattam","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",957926,http://localhost:3000/movies/aattam-2024
Medium,70%,2024,"Dune: Part Two","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",693134,http://localhost:3000/movies/dune-part-two-2024
Medium,70%,2024,"All We Imagine as Light","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",927547,http://localhost:3000/movies/all-we-imagine-as-light-2024
Medium,70%,2024,"Kill","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1160018,http://localhost:3000/movies/kill-2024
Medium,70%,2024,"Guruvayoor Ambalanadayil","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1068394,http://localhost:3000/movies/guruvayoor-ambalanadayil-2024
Medium,70%,2024,"The Forge","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1186532,http://localhost:3000/movies/the-forge-2024
Medium,70%,2024,"Sector 36","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1245700,http://localhost:3000/movies/sector-36-2024
Medium,70%,2024,"Cabrini","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",975056,http://localhost:3000/movies/cabrini-2024
Medium,70%,2024,"Ultraman: Rising","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",829402,http://localhost:3000/movies/ultraman-rising-2024
Medium,70%,2024,"Ui","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",984500,http://localhost:3000/movies/ui-2024
Medium,70%,2024,"The Greatest Night in Pop","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1226841,http://localhost:3000/movies/the-greatest-night-in-pop-2024
Medium,70%,2024,"Aavesham","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1084812,http://localhost:3000/movies/aavesham-2024
Medium,70%,2024,"Shaitaan","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1187619,http://localhost:3000/movies/shaitaan-2024
Medium,70%,2024,"Kanguva","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",622792,http://localhost:3000/movies/kanguva-2024
Medium,70%,2024,"The Greatest of All Time","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1129608,http://localhost:3000/movies/the-greatest-of-all-time-2024
Medium,70%,2024,"Maharaja","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1118224,http://localhost:3000/movies/maharaja-2024
Medium,70%,2024,"Sookshmadarshini","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",950075,http://localhost:3000/movies/sookshmadarshini-2024
Medium,70%,2024,"Do Patti","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1148172,http://localhost:3000/movies/do-patti-2024
Medium,70%,2024,"Marco","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1186350,http://localhost:3000/movies/marco-2024
Medium,70%,2024,"Amaran","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",927342,http://localhost:3000/movies/amaran-2024
Medium,70%,2024,"The Goat Life","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",472221,http://localhost:3000/movies/the-goat-life-2024
Medium,70%,2024,"Deadpool & Wolverine","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",533535,http://localhost:3000/movies/deadpool-wolverine-2024
Medium,70%,2024,"Murder Mubarak","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1051023,http://localhost:3000/movies/murder-mubarak-2024
Medium,70%,2024,"Vaazha","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1189518,http://localhost:3000/movies/vaazha-2024
Medium,70%,2024,"Premalu","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1149791,http://localhost:3000/movies/premalu-2024
