slug	title_en	title_te	year	director	tmdb_id	has_poster	has_synopsis	url
police-vari-heccharika-2025	Police Vari Heccharika		2025	Babji	884003	YES	YES	http://localhost:3000/movies/police-vari-heccharika-2025
mowgli-2025	Mowgli		2025	Sandeep Raj	1417743	YES	YES	http://localhost:3000/movies/mowgli-2025
junior-2025	Junior		2025	Radhakrishna Reddy	1571241	YES	YES	http://localhost:3000/movies/junior-2025
show-time-2025	Show Time		2025	Madhan Kumar Dhakshinamoorthy	1508889	YES	YES	http://localhost:3000/movies/show-time-2025
meghalu-cheppina-prema-katha-2025	Meghalu Cheppina Prema Katha		2025	Vipin	1552492	YES	YES	http://localhost:3000/movies/meghalu-cheppina-prema-katha-2025
kishkindhapuri-2025	Kishkindhapuri		2025	Koushik Pegallapati	1439747	YES	YES	http://localhost:3000/movies/kishkindhapuri-2025
tuk-tuk-2025	Tuk Tuk		2025	Supreeth C Krishna	1442486	YES	YES	http://localhost:3000/movies/tuk-tuk-2025
santhana-prapthirasthu-2025	Santhana Prapthirasthu		2025	Sanjeev Reddy	1417854	YES	YES	http://localhost:3000/movies/santhana-prapthirasthu-2025
premistunnaa-2025	Premistunnaa		2025	Shankar Bhanu	1579304	YES	YES	http://localhost:3000/movies/premistunnaa-2025
daaku-maharaaj-2025	Daaku Maharaaj		2025	Bobby Kolli	1202235	YES	YES	http://localhost:3000/movies/daaku-maharaaj-2025
paradha-2025	Paradha		2025	Praveen Kandregula	1280611	YES	YES	http://localhost:3000/movies/paradha-2025
telusu-kada-2025	Telusu Kada		2025	Neeraja Kona	1229947	YES	YES	http://localhost:3000/movies/telusu-kada-2025
shashtipoorthi-2025	Shashtipoorthi		2025	Pavan Prabha	1108193	YES	YES	http://localhost:3000/movies/shashtipoorthi-2025
little-hearts-2025	Little Hearts		2025	Sai Marthand	1440700	YES	YES	http://localhost:3000/movies/little-hearts-2025
sarangapani-jathakam-2025	Sarangapani Jathakam		2025	Mohana Krishna Indraganti	1354069	YES	YES	http://localhost:3000/movies/sarangapani-jathakam-2025
jatadhara-2025	Jatadhara		2025	Venkat Kalyan	1444973	YES	YES	http://localhost:3000/movies/jatadhara-2025
chiranjeeva-2025	Chiranjeeva		2025	Abhinaya Krishna	1576463	YES	YES	http://localhost:3000/movies/chiranjeeva-2025
brahma-anandam-2025	Brahma Anandam		2025	RVS Nikhil	1418578	YES	YES	http://localhost:3000/movies/brahma-anandam-2025
thandel-2025	Thandel		2025	Chandoo Mondeti	1208735	YES	YES	http://localhost:3000/movies/thandel-2025
ramam-raghavam-2025	Ramam Raghavam		2025	Dhanraj	1436660	YES	YES	http://localhost:3000/movies/ramam-raghavam-2025
thammudu-2025	Thammudu		2025	Venu Sriram	1263029	YES	YES	http://localhost:3000/movies/thammudu-2025
23-iravai-moodu-2025	23 (Iravai Moodu)		2025	Raj Rachakonda	1481554	YES	YES	http://localhost:3000/movies/23-iravai-moodu-2025
blind-spot-2025	Blind Spot		2025	Rakesh Varma	1479860	YES	YES	http://localhost:3000/movies/blind-spot-2025
laila-2025	Laila		2025	Ram Narayan	1403735	YES	YES	http://localhost:3000/movies/laila-2025
game-changer-2025	Game Changer		2025	S. Shankar	811944	YES	YES	http://localhost:3000/movies/game-changer-2025
eesha-2025	Eesha		2025	Srinivas Manne	1601310	YES	YES	http://localhost:3000/movies/eesha-2025
patang-2025	Patang		2025	Praneeth Prattipati	1603844	YES	YES	http://localhost:3000/movies/patang-2025
premante-2025	Premante		2025	Navaneeth Sriram	1425233	YES	YES	http://localhost:3000/movies/premante-2025
salaar-part-2-shouryaanga-parvam	Salaar: Part 2 - Shouryaanga Parvam		2025	Prashanth Neel	1212402	YES	YES	http://localhost:3000/movies/salaar-part-2-shouryaanga-parvam
kuberaa-2025	Kuberaa		2025	Sekhar Kammula	1171101	YES	YES	http://localhost:3000/movies/kuberaa-2025
robinhood-2025	Robinhood		2025	Venky Kudumula	1120762	YES	YES	http://localhost:3000/movies/robinhood-2025
suryapet-junction-2025	Suryapet Junction		2025	Rajesh Nadendla	1074619	YES	YES	http://localhost:3000/movies/suryapet-junction-2025
thala-2025	Thala		2025	Amma Rajasekhar	1446069	YES	YES	http://localhost:3000/movies/thala-2025
janata-bar-2025	Janata Bar		2025	Ramana Mogili	1085752	YES	YES	http://localhost:3000/movies/janata-bar-2025
single-2025	#Single		2025	Caarthick Raju	1428301	YES	YES	http://localhost:3000/movies/single-2025
solo-boy-2025	Solo Boy		2025	P. Naveen Kumar	1507617	YES	YES	http://localhost:3000/movies/solo-boy-2025
dreamcatcher-2025	Dreamcatcher		2025	Sandeep Kakula	1415465	YES	YES	http://localhost:3000/movies/dreamcatcher-2025
sankranthiki-vasthunam-2025	Sankranthiki Vasthunam		2025	Anil Ravipudi	1380920	YES	YES	http://localhost:3000/movies/sankranthiki-vasthunam-2025
odela-2-2025	Odela 2		2025	Ashok Teja	1257693	YES	YES	http://localhost:3000/movies/odela-2-2025
hit-the-third-case-2025	HIT: The Third Case		2025	Sailesh Kolanu	1060046	YES	YES	http://localhost:3000/movies/hit-the-third-case-2025
1111-2025	11:11		2025	Kittu Nalluri	1605210	YES	YES	http://localhost:3000/movies/1111-2025
bhavani-ward-1997-2025	Bhavani Ward 1997		2025	GD Narasimmha	1484827	YES	YES	http://localhost:3000/movies/bhavani-ward-1997-2025
