Section,Title,Year,Slug,Current Value,Suggested Value,Action
Missing tmdb_id,"Agni Putrudu",1987,agni-putrudu-1987,,,"Fill"
Missing cinematographer,"President Gari Abbayi",1987,president-gari-abbayi-1987,,,"Fill"
Missing editor,"President Gari Abbayi",1987,president-gari-abbayi-1987,,,"Fill"
Missing writer,"President Gari Abbayi",1987,president-gari-abbayi-1987,,,"Fill"
Missing producer,"President Gari Abbayi",1987,president-gari-abbayi-1987,,,"Fill"
Missing cinematographer,"Allari Krishnaiah",1987,allari-krishnaiah-1987,,,"Fill"
Missing editor,"Allari Krishnaiah",1987,allari-krishnaiah-1987,,,"Fill"
Missing writer,"Allari Krishnaiah",1987,allari-krishnaiah-1987,,,"Fill"
Missing producer,"Allari Krishnaiah",1987,allari-krishnaiah-1987,,,"Fill"
Missing cinematographer,"Apoorva Sahodarulu",1986,apoorva-sahodarulu-1986,,,"Fill"
Missing editor,"Apoorva Sahodarulu",1986,apoorva-sahodarulu-1986,,,"Fill"
Missing writer,"Apoorva Sahodarulu",1986,apoorva-sahodarulu-1986,,,"Fill"
Missing producer,"Apoorva Sahodarulu",1986,apoorva-sahodarulu-1986,,,"Fill"
Missing tmdb_id,"Apoorva Sahodarulu",1986,apoorva-sahodarulu-1986,,,"Fill"
Missing cinematographer,"Nippulanti Manishi",1986,nippulanti-manishi-1986,,,"Fill"
Missing editor,"Nippulanti Manishi",1986,nippulanti-manishi-1986,,,"Fill"
Missing writer,"Nippulanti Manishi",1986,nippulanti-manishi-1986,,,"Fill"
Missing producer,"Nippulanti Manishi",1986,nippulanti-manishi-1986,,,"Fill"
Missing tmdb_id,"Nippulanti Manishi",1986,nippulanti-manishi-1986,,,"Fill"
Missing cinematographer,"Muddula Krishnaiah",1986,muddula-krishnaiah-1986,,,"Fill"
Missing editor,"Muddula Krishnaiah",1986,muddula-krishnaiah-1986,,,"Fill"
Missing writer,"Muddula Krishnaiah",1986,muddula-krishnaiah-1986,,,"Fill"
Missing producer,"Muddula Krishnaiah",1986,muddula-krishnaiah-1986,,,"Fill"
Missing tmdb_id,"Muddula Krishnaiah",1986,muddula-krishnaiah-1986,,,"Fill"
Missing cinematographer,"Seetharama Kalyanam",1986,seetharama-kalyanam-1986,,,"Fill"
Missing editor,"Seetharama Kalyanam",1986,seetharama-kalyanam-1986,,,"Fill"
Missing writer,"Seetharama Kalyanam",1986,seetharama-kalyanam-1986,,,"Fill"
Missing producer,"Seetharama Kalyanam",1986,seetharama-kalyanam-1986,,,"Fill"
Missing cinematographer,"Ashtalakshmi Vaibhavam",1986,ashtalakshmi-vaibhavam-1986,,,"Fill"
Missing editor,"Ashtalakshmi Vaibhavam",1986,ashtalakshmi-vaibhavam-1986,,,"Fill"
Missing writer,"Ashtalakshmi Vaibhavam",1986,ashtalakshmi-vaibhavam-1986,,,"Fill"
Missing producer,"Ashtalakshmi Vaibhavam",1986,ashtalakshmi-vaibhavam-1986,,,"Fill"
Missing tmdb_id,"Ashtalakshmi Vaibhavam",1986,ashtalakshmi-vaibhavam-1986,,,"Fill"
Missing cinematographer,"Ugra Narasimham",1986,ugra-narasimham-1986,,,"Fill"
Missing editor,"Ugra Narasimham",1986,ugra-narasimham-1986,,,"Fill"
Missing writer,"Ugra Narasimham",1986,ugra-narasimham-1986,,,"Fill"
Missing producer,"Ugra Narasimham",1986,ugra-narasimham-1986,,,"Fill"
Missing tmdb_id,"Ugra Narasimham",1986,ugra-narasimham-1986,,,"Fill"
Missing cinematographer,"Anasuyamma Gari Alludu",1986,anasuyamma-gari-alludu-1986,,,"Fill"
Missing editor,"Anasuyamma Gari Alludu",1986,anasuyamma-gari-alludu-1986,,,"Fill"
Missing writer,"Anasuyamma Gari Alludu",1986,anasuyamma-gari-alludu-1986,,,"Fill"
Missing producer,"Anasuyamma Gari Alludu",1986,anasuyamma-gari-alludu-1986,,,"Fill"
Missing cinematographer,"Kaliyuga Krishnudu",1986,kaliyuga-krishnudu-1986,,,"Fill"
Missing editor,"Kaliyuga Krishnudu",1986,kaliyuga-krishnudu-1986,,,"Fill"
Missing writer,"Kaliyuga Krishnudu",1986,kaliyuga-krishnudu-1986,,,"Fill"
Missing producer,"Kaliyuga Krishnudu",1986,kaliyuga-krishnudu-1986,,,"Fill"
Missing tmdb_id,"Kaliyuga Krishnudu",1986,kaliyuga-krishnudu-1986,,,"Fill"
Missing cinematographer,"Babayi-Abbayi",1985,babayi-abbayi-1985,,,"Fill"
Missing editor,"Babayi-Abbayi",1985,babayi-abbayi-1985,,,"Fill"
Missing writer,"Babayi-Abbayi",1985,babayi-abbayi-1985,,,"Fill"
