slug,title_en,year,hero,director,title_te
gudachari-117-1989,"Gudachari 117",1989,"Krishna","Kodi Ramakrishna",
hai-hai-nayaka-1989,"Hai Hai Nayaka",1989,"Naresh","Jandhyala",
indrudu-chandrudu-1989,"Indrudu Chandrudu",1989,"Kamal Haasan","Suresh Krissna",
jayamu-nischayamu-raa-1989,"Jayamu Nischayamu Raa",1989,"Rajendra Prasad","Jandhyala",
koduku-diddina-kapuram-1989,"Koduku Diddina Kapuram",1989,"Krishna","Krishna",
kokila-1989,"Kokila",1989,"Naresh","Geetha Krishna",
lankeswarudu-1989,"Lankeswarudu",1989,"Chiranjeevi","Dasari Narayana Rao",
main-tera-dushman-1989,"Main Tera Dushman",1989,"Jackie Shroff","Vijay Reddy",
mamatala-kovela-1989,"Mamatala Kovela",1989,"Rajendra Prasad","A. Kodandarami Reddy",
manchu-kutumbam-1989,"Manchu Kutumbam",1989,"Rajendra Prasad","Relangi Narasimha Rao",
mouna-poratam-1989,"Mouna Poratam",1989,"Karthik","Mohan Gandhi",
muthyamantha-muddu-1989,"Muthyamantha Muddu",1989,"Rajendra Prasad","Ravi Raja Pinisetty",
nigahen-nagina-part-ii-1989,"Nigahen: Nagina Part II",1989,"Sunny Deol","Harmesh Malhotra",
ontari-poratam-1989,"Ontari Poratam",1989,"Daggubati Venkatesh","K. Raghavendra Rao",
paila-pacheesu-1989,"Paila Pacheesu",1989,"Rajendra Prasad","T.S.B.K. Moulee",
parthudu-1989,"Parthudu",1989,"Krishna","K.S.R. Das",
rajakeeya-chadarangam-1989,"Rajakeeya Chadarangam",1989,"Krishna","A. Kodandarami Reddy",
rickshawala-1989,"Rickshawala",1989,"Krishna","Krishna",
rudranetra-1989,"Rudranetra",1989,"Chiranjeevi","K. Raghavendra Rao",
sahasame-naa-oopiri-1989,"Sahasame Naa Oopiri",1989,"Krishna","Vijaya Nirmala",
sarvabhoumudu-1989,"Sarvabhoumudu",1989,"Krishna","K. Raghavendra Rao",
simha-swapnam-1989,"Simha Swapnam",1989,"Krishnam Raju","V. Madhusudhana Rao",
siva-1989,"Siva",1989,"Rajinikanth","Ameerjan",
souten-ki-beti-1989,"Souten Ki Beti",1989,"Jeetendra","Saawan Kumar Tak",
srirama-chandrudu-1989,"Srirama Chandrudu",1989,"Krishnan","Deva Das Kanakala",
state-rowdy-2007,"State Rowdy",1989,"Chiranjeevi","B. Gopal",
sutradhaarulu-1989,"Sutradhaarulu",1989,"Akkineni Nageswara Rao","K. Viswanath",
swara-kalpana-1989,"Swara Kalpana",1989,"Suman","Vamsi",
swathi-chinukulu-1989,"Swathi Chinukulu",1989,"Sarath Babu","Sri Chakravarthy for producer T",
two-town-rowdy-1989,"Two Town Rowdy",1989,"Daggubati Venkatesh","Dasari Narayana Rao",
vichitra-sodarulu-1989,"Vichitra Sodarulu",1989,"Kamal Haasan","Singeetam Srinivasa Rao",
vicky-dada-1989,"Vicky Dada",1989,"Akkineni Nagarjuna","A. Kodandarami Reddy",
yamapaasam-1989,"Yamapaasam",1989,"Rajasekhar","A. Kodandarami Reddy",
zoo-laka-taka-1989,"Zoo Laka Taka",1989,"Rajendra Prasad","Vijaya Bapineedu",
aakhari-poratam-1988,"Aakhari Poratam",1988,"Akkineni Nagarjuna","K. Raghavendra Rao",
aanimuthyam-1988,"Aanimuthyam",1988,"Rajendra Prasad","Bandela Eshwar Rao",
abhinandana-1988,"Abhinandana",1988,"Kartheek","Ashok Kumar",
agni-keratalu-1988,"Agni Keratalu",1988,"Krishna","K. Raghavendra Rao",
anthima-theerpu-1988,"Anthima Theerpu",1988,"Krishnam Raju","Joshiy",
antima-teerpu-1988,"Antima Teerpu",1988,"Justin Hayles","Jason Impey",
asthulu-anthasthulu-1988,"Asthulu Anthasthulu",1988,"Rajendra Prasad","Ashok Kumar",
aswaddhama-1988,"Aswaddhama",1988,"Krishna","B. Gopal",
bava-marudula-saval-1988,"Bava Marudula Saval",1988,"Rajendra Prasad","C. V. Ganesh",
bazaar-rowdy-1988,"Bazaar Rowdy",1988,"Ramesh Babu","A. Kodandarami Reddy",
bhama-kalapam-1988,"Bhama Kalapam",1988,"Rajendra Prasad","Rajendra Prasad",
bharatamlo-bala-chandrudu-1988,"Bharatamlo Bala Chandrudu",1988,"Nandamuri Balakrishna","Kodi Ramakrishna",
bharya-bhartala-bhagotham-1988,"Bharya Bhartala Bhagotham",1988,"Rajendra Prasad","Mahesh Kumar",
brahma-puthrudu-1988,"Brahma Puthrudu",1988,"Daggubati Venkatesh","Dasari Narayana Rao",
chikkadu-dorakadu-1988,"Chikkadu Dorakadu",1988,"Rajendra Prasad","Relangi Narasimha Rao",
chinababu-1988,"Chinababu",1988,"Akkineni Nagarjuna","A. Kodandarami Reddy",
choopulu-kalasina-shubhavela-1988,"Choopulu Kalasina Shubhavela",1988,"Naresh","Jandhyala",
choopulu-kalasina-subhavela-1988,"Choopulu Kalasina Subhavela",1988,"Mohan","Jandhyala",
chuttalabbayi-1988,"Chuttalabbayi",1988,"Krishna","Relangi Narasimha Rao",
daasi-1988,"Daasi",1988,"Archana","B. Narsing Rao",
dharma-teja-1988,"Dharma Teja",1988,"Akkineni Nageswara Rao","K. Raghavendra Rao",
donga-kollu-1988,"Donga Kollu",1988,"Rajendra Prasad","P.N. Ramachandra Rao",
donga-ramudu-1988,"Donga Ramudu",1988,"N. Balakrishna","K. Raghavendra Rao",
dorakani-donga-1988,"Dorakani Donga",1988,"Krishna","K.S.R. Das",
ganga-tere-desh-mein-1988,"Ganga Tere Desh Mein",1988,"Jaya Prada","Vijay Reddy",
gangaa-jamunaa-saraswathi-1988,"Gangaa Jamunaa Saraswathi",1988,"Jaya Prada","Manmohan Desai",
illu-illalu-pillalu-1988,"Illu Illalu Pillalu",1988,"Chandra Mohan","Visu",
inspector-pratap-1988,"Inspector Pratap",1988,"Nandamuri Balakrishna","Muthyala Subbaiah",
intinti-bhagavatham-1988,"Intinti Bhagavatham",1988,"Naresh","V. E. Sharma",
jamadagni-1988,"Jamadagni",1988,"Krishna","Bharathiraja",
janaki-ramudu-1988,"Janaki Ramudu",1988,"Akkineni Nagarjuna","K. Raghavendra Rao",
jeevana-ganga-1988,"Jeevana Ganga",1988,"Krishnam Raju","K. Raghavendra Rao",
jeevana-jyothi-1988,"Jeevana Jyothi",1988,"Murali Mohan","K. Raghavendra Rao",
jhansi-rani-1988,"Jhansi Rani",1988,"Vijayashanti","K. S. R. Das",
kaliyuga-karnudu-1988,"Kaliyuga Karnudu",1988,"Krishna","Krishna",
kallu-1988,"Kallu",1988,"Rajendra Prasad","M. V. Raghu",
khaidi-no786-1988,"Khaidi No.786",1988,"Chiranjeevi","Vijaya Bapineedu",
maa-inti-maharaju-1988,"Maa Inti Maharaju",1988,"Krishnam Raju","Vijaya Bapineedu",
maharajashri-mayagaadu-1988,"Maharajashri Mayagaadu",1988,"Rajendra Prasad","Vijaya Bapineedu",
manchi-donga-1988,"Manchi Donga",1988,"Chiranjeevi","K. Raghavendra Rao",
marana-mrudangam-1988,"Marana Mrudangam",1988,"Chiranjeevi","A. Kodandarami Reddy",
mugguru-kodukulu-1988,"Mugguru Kodukulu",1988,"Krishna","Krishna",
murali-krishnudu-1988,"Murali Krishnudu",1988,"Nagarjuna Akkineni","A. Kodandarami Reddy",
pelli-chesi-choodu-1988,"Pelli Chesi Choodu",1988,"Rajendra Prasad","Relangi Narasimha Rao",
praja-prathinidhi-1988,"Praja Prathinidhi",1988,"Krishna","Krishna",
prana-snehithulu-1988,"Prana Snehithulu",1988,"Rajendra Prasad","V. Madhusudhana Rao",
premayanam-1988,"Premayanam",1988,"Naresh","Relangi Narasimha Rao",
rajakiya-chadurangam-1988,"Rajakiya Chadurangam",1988,"Krishna","P. Chandrasekhara Reddy",
raktabhishekam-1988,"Raktabhishekam",1988,"Nandamuri Balakrishna","A Kodandarami Reddy",
rakthabishekam-1988,"Rakthabishekam",1988,"Nandamuri Balakrishna","A. Kodandarami Reddy",
ram-avtar-1988,"Ram-Avtar",1988,"Anil Kapoor","Sunil Hingorani",
ramudu-bheemudu-1988,"Ramudu Bheemudu",1988,"Nandamuri Balakrishna","K. Vasu",
rao-gari-illu-1988,"Rao Gari Illu",1988,"Akkineni Nageswara Rao","Tharani Rao",
sahasam-cheyara-dimbhaka-1988,"Sahasam Cheyara Dimbhaka",1988,"Rajendra Prasad","Relangi Narasimha Rao",
samsaram-1988,"Samsaram",1988,"Sarath Babu","K. Vasu",
sherni-1988,"Sherni",1988,"Birbal","Harmesh Malhotra",
sri-kanaka-mahalakshmi-recording-dance-troupe-1988,"Sri Kanaka Mahalakshmi Recording Dance Troupe",1988,"Naresh","Vamsi",
station-master-1988,"Station Master",1988,"Rajendra Prasad","A. Kodandarami Reddy",
thodallullu-1988,"Thodallullu",1988,"Rajendra Prasad","Relangi Narasimha Rao",
tiragabadda-telugubidda-1988,"Tiragabadda Telugubidda",1988,"Rajendra Prasad","A. Kodandarami Reddy",
trinetrudu-1988,"Trinetrudu",1988,"Chiranjeevi","A. Kodandarami Reddy",
varasudochadu-1988,"Varasudochadu",1988,"Daggubati Venkatesh","A. Kodandarami Reddy",
vivaha-bhojanambu-1988,"Vivaha Bhojanambu",1988,"Rajendra Prasad","Jandhyala",
waqt-ki-awaz-1988,"Waqt Ki Awaz",1988,"Mithun Chakraborty","K. Bapayya",
yamudiki-mogudu-1988,"Yamudiki Mogudu",1988,"Chiranjeevi","Ravi Raja Pinisetty",
