ID,Title,Year,Hero,Director,Our Rating,Has Poster,Synopsis (first 100 chars),Missing Data
1693aeaf-3fa6-463f-98cf-57d4f0a6953b,"Thunaivan",1969,"","M. A. Thirumugam",,NO,"A 1969 Telugu film directed by M. A. Thirumugam.","HERO, RATING, POSTER, SYNOPSIS"
b7d08456-0a91-4a92-acf8-60bb4b33a63c,"Varakatnam",1968,"N. T. Rama Rao","N.T. Rama Rao",,NO,"","RATING, POSTER, SYNOPSIS"
c0b08b22-73ed-4160-9064-4a5992f4df80,"Poola Rangadu",1967,"Akkineni Nageswara Rao","Adurthi Subba Rao",7.8,NO,"","POSTER, SYNOPSIS"
6bb9ee24-bd83-43f9-a6f9-31348cc85ca5,"Kandhan Karunai",1967,"Sivaji Ganesan","A. P. Nagarajan",,NO,"A 1967 Telugu film directed by A. P. Nagarajan.","RATING, POSTER, SYNOPSIS"
b517ecd9-ed4c-4aa0-93db-b9273e4d08b7,"Bangaru Panjaram",1965,"Sobhan Babu","B.N. Reddi",,NO,"","RATING, POSTER, SYNOPSIS"
076745f1-ed22-4c60-80b4-de2cd38e198c,"Vallavanukku Vallavan",1965,"Gemini Ganesan","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
79002c52-edcc-4d95-b4d2-1c15f0432806,"Thiruvilayadal",1965,"Sivaji Ganesan","A. P. Nagarajan",,NO,"A 1965 Telugu film directed by A. P. Nagarajan.","RATING, POSTER, SYNOPSIS"
02e703b0-1edb-4af0-aedc-d1235bcc7f1b,"Apne Huye Paraye",1964,"Manoj Kumar","Ajit Chakrabarty",,NO,"A 1964 Telugu film directed by Ajit Chakrabarty.","RATING, POSTER, SYNOPSIS"
c2ff5c7e-7bd0-4ec4-9967-7d69c261810a,"Ganga Ki Lahren",1964,"Dharmendra","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
c14c944e-e9d6-4265-88e0-2e6510f1fe25,"Mooga Manasulu",1964,"Akkineni Nageswara Rao","Adurthi Subba Rao",,NO,"","RATING, POSTER, SYNOPSIS"
6ab3ecad-bb95-4f5d-adef-b0e1c0cbb25f,"Karpagam",1963,"Gemini Ganesan","K. S. Gopalakrishnan",,NO,"A 1963 Telugu film directed by K. S. Gopalakrishnan.","RATING, POSTER"
6e9d0c29-3a2a-40e1-bca6-c30779c5a402,"Nartanasala",1962,"N. T. Rama Rao","Kamalakara Kameshwara Rao",,NO,"","RATING, POSTER, SYNOPSIS"
794250d0-96e1-4aee-8de3-ce805a0886c2,"Pava Mannippu",1961,"Sivaji Ganesan","A. Bhimsingh",,NO,"A 1961 Telugu film directed by A. Bhimsingh.","RATING, POSTER, SYNOPSIS"
db3501ba-de8d-49cb-a6fc-0304f62512a9,"Pasamalar",1961,"Sivaji Ganesan","A. Bhimsingh",,NO,"A 1961 Telugu film directed by A. Bhimsingh.","RATING, POSTER, SYNOPSIS"
c873ef3f-bdd5-43b1-a4c2-71714e371faf,"Manithan Maravillai",1961,"Gemini Ganesan","M. G. Chakrapani",,NO,"A 1961 Telugu film directed by M. G. Chakrapani.","RATING, POSTER, SYNOPSIS"
