"Movie ID","Movie Title","Original Cast Count","Deduplicated Count","Duplicates Removed","Sample Duplicate Names"
"acfcb1cb-1187-4514-91ba-819ad458877f","Gorintaku","2","1","1","Sai Kumar"
"c774d108-944b-4545-90de-2cff5f2e9b9d","Swathi Muthyam","2","1","1","K"
"b42e0816-a356-4a7f-8959-b4e2ecd0e685","Dhobi Ghat","7","6","1","Aditi Rao Hydari"
"7518ec2e-c620-4521-b1fa-6b54fe735ef8","Anubandham","2","1","1","Tulasi"
"34dc1f1f-6fd4-4dcd-a522-a2db63b98ed3","Vajram","2","1","1","Sujatha"
"dfd4a9aa-feb4-40ce-9661-377d1f648c9d","Uzhaippali","2","1","1","Indraja"
"9cafc83c-bfe3-4b7e-980a-d6750cd96c42","Aggi Meeda Guggilam","2","1","1","Satyanarayana"
"93b55305-3ee1-4392-b95d-e84b9bb35e66","Thambi","7","6","1","Janaki"
"7ff1cf34-99c3-4a6c-8d1c-f4c9539bd71f","Life in a Metro","7","6","1","Anurag Basu"
"8fd64134-9ec6-47cb-ac2d-cdf8ff21562a","Rahasya Gudachari","5","4","1","K S R Das"
"990e8a3f-1132-4bc4-9d5c-f781db98fb99","Ragile Jwala","2","1","1","Allu"
"18d5a375-be5c-4876-ac0f-81d588266c45","Kites","7","6","1","Anurag Basu"
